id,control,cultivar,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
111,br_Muller Thurgau,Muller Thurgau,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
112,br_Muscadelle,Muscadelle,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
113,br_Ora,Ora,0,4045,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
114,br_Palomino,Palomino,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
115,br_Petit Manseng,Petit Manseng,0,0,0,0,0,0,0,0,0,1430,0.0,0,570,0.0,3915.0
116,br_Peverella,Peverella,48994,28945,64218,43656,44137,28452,40719,5557,16350,33439,0.0,15858,70925,0.0,45898.0
117,br_Pinot Blanc,Pinot Blanc,8030,16940,26307,10174,8720,5980,7218,0,0,17028,0.0,3000,0,0.0,1310.0
118,br_Pinot Gris,Pinot Gris,52000,36036,158788,187685,126844,118123,118118,67394,165697,98728,0.0,183818,79922,0.0,178683.0
119,br_Prosecco,Prosecco,2169397,1345161,2720048,2420715,2852648,3030347,3319779,1873735,3342655,4018371,0.0,4393451,184218,0.0,7856145.61
120,br_Red Veltliner,Red Veltliner,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
121,br_Riesling Italico,Riesling Italico,2466530,2120405,2618429,3172992,3069854,2705224,3468606,1697248,4283929,3724926,0.0,3020102,20399648,0.0,4642665.9
122,br_Riesling Renano,Riesling Renano,90530,96828,125166,195120,99230,94276,153605,53550,105100,121020,0.0,108260,13385970,0.0,126736.45
123,br_Sauvignon Blanc(2),Sauvignon Blanc(2),657286,350866,612060,855045,633633,515939,614222,295942,677028,517760,0.0,818549,728633,0.0,818121.85
124,br_Sauvignon Gris,Sauvignon Gris,2147,3629,8513,2854,3737,921,1504,0,0,0,0.0,1028,0,0.0,0.0
125,br_Seara Nova,Seara Nova,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
126,br_Semillon,Semillon,382995,165518,312204,336252,335323,149939,177672,57635,188211,225952,0.0,193760,4000,0.0,112905.0
127,br_Schonburger,Schonburger,16930,0,14538,21348,14087,5194,0,0,7454,14354,0.0,14499,5500,0.0,12687.0
128,br_Sylvaner,Sylvaner,492,0,1435,144,155,0,0,0,0,0,0.0,0,0,0.0,2342.0
129,br_Tocai Friulano,Tocai Friulano,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6150.0
130,br_Trebbiano,Trebbiano,1578176,1338957,2439317,2576020,2876041,3342859,3830336,2083491,3892478,4504485,0.0,4682326,67720,0.0,5954818.45
131,br_Trebbiano Toscano,Trebbiano Toscano,0,0,0,0,0,0,0,2694,100047,18110,0.0,122512,184310,0.0,139845.0
132,br_Verdea,Verdea,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
133,br_Verdelho,Verdelho,0,0,12420,14339,0,0,0,0,0,1800,0.0,1540,15503,0.0,2080.0
134,br_Verdiso,Verdiso,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
135,br_Vermentino,Vermentino,1940,560,5480,4844,3220,1890,790,0,0,0,0.0,0,0,0.0,28218.0
136,br_Vernaccia,Vernaccia,14498,6520,4930,3780,7970,4150,4760,0,5100,4020,0.0,95680,0,0.0,800.0
137,br_Viogner ,Viogner ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,21794.25
138,br_Viognier,Viognier,49935,76145,144979,200288,247081,149333,285217,95231,365103,470555,0.0,531026,78305,0.0,974004.64
139,br_Outras(3),Outras(3),0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
